StudentNumber,Suruna Value,Hurni Level,Lal Count,Volta,Ratios,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104
1001196,lobi,high,90,2 star,1.068460625,7.792645888219145,8.0,7.15102459753775,7.570553073206058,7.3421936262602605,7.09896993161998,7.947371877252339,7.474780747393699,8.31781745438693,8.129765766163704,,7.261747430856651,8.283180450914974,8.0,7.918223731274031,7.0,,7.0,7.946134758862643,,8.0,8.598536565693875,7.012413372565507,8.036696222171113,7.095083947192168,7.0,9.0,6.929708939175747,7.730036837026023,6.862976834203947
1000531,doot,full,100,5 star,1.32568263,9.668653251263276,10.0,8.872567574175733,9.393093646892593,9.109758776960021,8.807981229295086,9.860628089897013,9.274265020181014,10.320255010606095,10.086931619189865,,9.009945904683,10.277279469174214,10.0,9.824462797591414,10.0,,9.0,9.85909314670669,,9.0,10.668554649414643,8.70058697988034,9.971456444002197,8.803159730087849,9.0,10.0,8.59797221972594,9.590971650551502,8.515174978204334
1000699,doot,full,94,1 star,1.30589632,9.52434497854192,10.0,8.740141178486601,9.252898204521559,8.97379221369129,8.676518809004481,9.713454520774055,9.135843139589989,10.166221337464503,9.936380385093894,,8.87546908593394,10.12388722209188,10.0,9.677829009007633,10.0,,8.0,9.711942487186006,,9.0,10.509322473652288,8.570727459004008,9.822628720165667,8.67176927247958,9.0,10.0,8.469644262595743,9.447822804828885,8.388082800928846
1000548,doot,full,83,2 star,1.28611001,9.380036705820567,10.0,8.60771478279747,9.112702762150523,8.83782565042256,8.545056388713878,9.566280951651096,8.997421258998962,10.012187664322912,9.785829150997923,,8.740992267184879,9.970494975009549,9.0,9.531195220423852,10.0,,8.0,9.564791827665323,,10.0,10.350090297889935,8.440867938127676,9.673800996329136,8.54037881487131,8.0,10.0,8.341316305465547,9.304673959106267,8.260990623653358
1000581,doot,full,98,3 star,1.28611001,9.380036705820567,10.0,8.60771478279747,9.112702762150523,8.83782565042256,8.545056388713878,9.566280951651096,8.997421258998962,10.012187664322912,9.785829150997923,,8.740992267184879,9.970494975009549,10.0,9.531195220423852,9.0,,9.0,9.564791827665323,,8.0,10.350090297889935,8.440867938127676,9.673800996329136,8.54037881487131,9.0,10.0,8.341316305465547,9.304673959106267,8.260990623653358
1000595,doot,full,78,4 star,1.28611001,9.380036705820567,10.0,8.60771478279747,9.112702762150523,8.83782565042256,8.545056388713878,9.566280951651096,8.997421258998962,10.012187664322912,9.785829150997923,,8.740992267184879,9.970494975009549,9.0,9.531195220423852,10.0,,8.0,9.564791827665323,,10.0,10.350090297889935,8.440867938127676,9.673800996329136,8.54037881487131,8.0,10.0,8.341316305465547,9.304673959106267,8.260990623653358
1000192,doot,full,83,5 star,1.2663237,9.235728433099212,10.0,8.475288387108337,8.972507319779488,8.70185908715383,8.413593968423273,9.41910738252814,8.858999378407937,9.85815399118132,9.635277916901952,,8.606515448435818,9.817102727927217,9.0,9.384561431840071,9.0,,8.0,9.41764116814464,,9.0,10.190858122127581,8.311008417251344,9.524973272492607,8.408988357263041,9.0,10.0,8.212988348335353,9.16152511338365,8.133898446377872
1000624,doot,full,98,1 star,1.2663237,9.235728433099212,10.0,8.475288387108337,8.972507319779488,8.70185908715383,8.413593968423273,9.41910738252814,8.858999378407937,9.85815399118132,9.635277916901952,,8.606515448435818,9.817102727927217,9.0,9.384561431840071,9.0,,8.0,9.41764116814464,,10.0,10.190858122127581,8.311008417251344,9.524973272492607,8.408988357263041,8.0,10.0,8.212988348335353,9.16152511338365,8.133898446377872
1000876,doot,full,68,4 star,1.2663237,9.235728433099212,9.0,8.475288387108337,8.972507319779488,8.70185908715383,8.413593968423273,9.41910738252814,8.858999378407937,9.85815399118132,9.635277916901952,,8.606515448435818,9.817102727927217,9.0,9.384561431840071,10.0,,8.0,9.41764116814464,,10.0,10.190858122127581,8.311008417251344,9.524973272492607,8.408988357263041,8.0,10.0,8.212988348335353,9.16152511338365,8.133898446377872
1000096,doot,full,91,3 star,1.2465374,9.091420233311249,10.0,8.342862058347498,8.832311948263222,8.565892592602593,8.28213161457377,9.271933887786695,8.72057756777532,9.704120395888339,9.484726758894567,,8.472038697651334,9.663710558369317,9.0,9.237927717364999,8.0,,8.0,9.27049058299389,,8.0,10.031626026841161,8.181148962006006,9.3761456238736,8.277597966059501,10.0,10.0,8.084660456062098,9.018376340008452,8.006806333334763
