StudentNumber,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104
1001196,7.792645888219150,8.0,7.15102459753775,7.570553073206060,7.3421936262602600,7.09896993161998,7.947371877252340,7.474780747393700,8.31781745438693,8.129765766163700,,7.261747430856650,8.283180450914970,8.0,7.918223731274030,7.0,,7.0,7.946134758862640,,8.0,8.598536565693880,7.012413372565510,8.036696222171110,7.095083947192170,7.0,9.0,6.929708939175750,7.730036837026020,6.862976834203950
1000531,9.668653251263280,10.0,8.872567574175730,9.393093646892590,9.109758776960020,8.807981229295090,9.860628089897010,9.274265020181010,10.320255010606100,10.086931619189900,,9.009945904683,10.277279469174200,10.0,9.824462797591410,10.0,,9.0,9.85909314670669,,9.0,10.668554649414600,8.70058697988034,9.971456444002200,8.803159730087850,9.0,10.0,8.59797221972594,9.590971650551500,8.515174978204330
1000699,9.52434497854192,10.0,8.740141178486600,9.252898204521560,8.97379221369129,8.676518809004480,9.713454520774060,9.135843139589990,10.166221337464500,9.936380385093890,,8.87546908593394,10.12388722209190,10.0,9.677829009007630,10.0,,8.0,9.711942487186010,,9.0,10.509322473652300,8.570727459004010,9.822628720165670,8.67176927247958,9.0,10.0,8.469644262595740,9.447822804828890,8.388082800928850
1000548,9.380036705820570,10.0,8.60771478279747,9.112702762150520,8.83782565042256,8.545056388713880,9.566280951651100,8.997421258998960,10.012187664322900,9.785829150997920,,8.740992267184880,9.970494975009550,9.0,9.531195220423850,10.0,,8.0,9.564791827665320,,10.0,10.350090297889900,8.440867938127680,9.673800996329140,8.54037881487131,8.0,10.0,8.341316305465550,9.304673959106270,8.260990623653360
1000581,9.380036705820570,10.0,8.60771478279747,9.112702762150520,8.83782565042256,8.545056388713880,9.566280951651100,8.997421258998960,10.012187664322900,9.785829150997920,,8.740992267184880,9.970494975009550,10.0,9.531195220423850,9.0,,9.0,9.564791827665320,,8.0,10.350090297889900,8.440867938127680,9.673800996329140,8.54037881487131,9.0,10.0,8.341316305465550,9.304673959106270,8.260990623653360
1000595,9.380036705820570,10.0,8.60771478279747,9.112702762150520,8.83782565042256,8.545056388713880,9.566280951651100,8.997421258998960,10.012187664322900,9.785829150997920,,8.740992267184880,9.970494975009550,9.0,9.531195220423850,10.0,,8.0,9.564791827665320,,10.0,10.350090297889900,8.440867938127680,9.673800996329140,8.54037881487131,8.0,10.0,8.341316305465550,9.304673959106270,8.260990623653360
1000192,9.235728433099210,10.0,8.475288387108340,8.972507319779490,8.70185908715383,8.413593968423270,9.41910738252814,8.858999378407940,9.85815399118132,9.635277916901950,,8.606515448435820,9.817102727927220,9.0,9.384561431840070,9.0,,8.0,9.41764116814464,,9.0,10.190858122127600,8.311008417251340,9.524973272492610,8.408988357263040,9.0,10.0,8.212988348335350,9.16152511338365,8.133898446377870
1000624,9.235728433099210,10.0,8.475288387108340,8.972507319779490,8.70185908715383,8.413593968423270,9.41910738252814,8.858999378407940,9.85815399118132,9.635277916901950,,8.606515448435820,9.817102727927220,9.0,9.384561431840070,9.0,,8.0,9.41764116814464,,10.0,10.190858122127600,8.311008417251340,9.524973272492610,8.408988357263040,8.0,10.0,8.212988348335350,9.16152511338365,8.133898446377870
1000876,9.235728433099210,9.0,8.475288387108340,8.972507319779490,8.70185908715383,8.413593968423270,9.41910738252814,8.858999378407940,9.85815399118132,9.635277916901950,,8.606515448435820,9.817102727927220,9.0,9.384561431840070,10.0,,8.0,9.41764116814464,,10.0,10.190858122127600,8.311008417251340,9.524973272492610,8.408988357263040,8.0,10.0,8.212988348335350,9.16152511338365,8.133898446377870
1000096,9.091420233311250,10.0,8.342862058347500,8.832311948263220,8.565892592602590,8.28213161457377,9.271933887786700,8.72057756777532,9.704120395888340,9.484726758894570,,8.472038697651330,9.663710558369320,9.0,9.237927717365000,8.0,,8.0,9.27049058299389,,8.0,10.031626026841200,8.181148962006010,9.3761456238736,8.277597966059500,10.0,10.0,8.084660456062100,9.018376340008450,8.006806333334760
